Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2021,2021-12-31,9,"2763,065364",2763065364,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2017,2017-12-31,5,"1826,571202",1826571202,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2018,2018-12-31,6,"1842,78428",1842784280,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2019,2019-12-31,7,"1743,241742",1743241742,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2020,2020-12-31,8,"2455,008651",2455008651,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2021,2021-12-31,9,"2508,306602",2508306602,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,million litres,2017,2017-12-31,5,"1506,373588",1506373588,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,million litres,2018,2018-12-31,6,"1670,817872",1670817872,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,million litres,2019,2019-12-31,7,"1859,013286",1859013286,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,million litres,2020,2020-12-31,8,"2073,769748",2073769748,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,million litres,2021,2021-12-31,9,"2303,541615",2303541615,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2017,2017-12-31,5,"1582,253627",1582253627,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2018,2018-12-31,6,"1635,442111",1635442111,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2019,2019-12-31,7,"1662,977692",1662977692,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2020,2020-12-31,8,"1913,559748",1913559748,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2021,2021-12-31,9,"2177,162971",2177162971,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2017,2017-12-31,5,"1750,933458",1750933458,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2018,2018-12-31,6,"1842,218732",1842218732,1,Beer,Beer
